,,,,boaz's test,,,,,,,,,,our output Algo1,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,lat,lon,,,,,compare lon,compare lat,,,,,,lon,lat,
56,1c:b9:c4:16:11:a8,Ariel_University,1,-73,32.10254585,35.20941178,690.7003682,03/12/2017 08:54,Approx. w-center algo1,,1.56E-09,4.88E-10,,Ariel_University,1c:b9:c4:16:11:a8,1,-73,35.20941178,32.10254585,690.7003682
89,1c:b9:c4:16:d2:88,Ariel_University,11,-77,32.10323198,35.20881018,686,03/12/2017 08:54,Approx. w-center algo1,,1.43E-09,1.03E-09,,Ariel_University,1c:b9:c4:16:d2:88,11,-89,35.20881018,32.10323198,686
93,1c:b9:c4:16:cc:d8,Ariel_University,1,-76,32.10419836,35.2091935,685.5370355,03/12/2017 08:54,Approx. w-center algo1,,1.39E-09,1.48E-09,,Ariel_University,1c:b9:c4:16:cc:d8,1,-92,35.2091935,32.10419836,685.5370355
26,1c:b9:c4:16:2d:e8,Ariel_University,11,-83,32.10475993,35.21030941,687.2863072,03/12/2017 08:53,Approx. w-center algo1,,1.63E-10,7.41E-11,,Ariel_University,1c:b9:c4:16:2d:e8,11,-88,35.21030941,32.10475993,687.2863072
92,00:11:6b:11:02:b7,yosh,1,-81,32.10199722,35.2098381,693,03/12/2017 08:54,Approx. w-center algo1,,0,0,,yosh,00:11:6b:11:02:b7,1,-81,32.10199722,35.2098381,693
116,ec:8c:a2:08:94:1c,Ariel_University,44,-70,32.1020322,35.20935702,689,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,ec:8c:a2:08:78:cc,48,-85,32.1020322,35.20935702,689
112,1c:b9:c4:14:2b:dc,Ariel_University,36,-74,32.10219234,35.20946628,690,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:2b:dc,36,-74,32.10219234,35.20946628,690
63,1c:b9:c4:14:2b:d8,Ariel_University,1,-69,32.10220501,35.20936592,689.6115765,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:14:2b:d8,1,-69,32.10220501,35.20936592,689.6115765
45,a0:ab:1b:60:b4:ca,36518749,8,-87,32.10231423,35.2093022,690,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Guest,90:6c:ac:a0:60:4d,1,-69,32.10231423,35.2093022,690
75,ec:8c:a2:26:b1:78,Ariel_University,1,-69,32.1023794,35.20919203,689.3832805,03/12/2017 08:54,Approx. w-center algo1,,0,0,,Ariel_University,ec:8c:a2:08:94:1c,44,-70,32.1023794,35.20919203,689.3832805
15,1c:b9:c4:15:1e:6c,Ariel_University,36,-83,32.10238085,35.21000654,712.1937427,03/12/2017 09:08,Approx. w-center algo1,,0,0,,Ariel_University,1c:b9:c4:15:1e:6c,36,-83,32.10238085,35.21000654,712.1937427
